Current Angles: 0.680, 0.680; Goal: 1.303, 1.483;+0.017453292519943295 rad on alpha: 0.627, -0.017453292519943295 rad on alpha: 0.591, +0.017453292519943295 rad on beta: 0.627, -0.017453292519943295 rad on beta: 0.591; Robot choose: +0.017453292519943295 rad on alpha with Utility Value: 0.627; Distance: 0.355; Predicted Coordinates: (x=1.544, y=1.271)
Current Angles: 0.738, 0.790; Goal: 1.898, 0.566;+0.017453292519943295 rad on alpha: 0.269, -0.017453292519943295 rad on alpha: 0.291, +0.017453292519943295 rad on beta: 0.269, -0.017453292519943295 rad on beta: 0.291; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: 0.291; Distance: 0.918; Predicted Coordinates: (x=1.456, y=1.370)
Current Angles: 0.720, 0.790; Goal: 1.898, 0.566;+0.017453292519943295 rad on alpha: 0.280, -0.017453292519943295 rad on alpha: 0.302, +0.017453292519943295 rad on beta: 0.280, -0.017453292519943295 rad on beta: 0.302; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: 0.302; Distance: 0.901; Predicted Coordinates: (x=1.467, y=1.357)
Current Angles: 0.703, 0.790; Goal: 1.898, 0.566;+0.017453292519943295 rad on alpha: 0.291, -0.017453292519943295 rad on alpha: 0.312, +0.017453292519943295 rad on beta: 0.291, -0.017453292519943295 rad on beta: 0.312; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: 0.312; Distance: 0.884; Predicted Coordinates: (x=1.478, y=1.343)
Current Angles: 0.685, 0.790; Goal: 1.898, 0.566;+0.017453292519943295 rad on alpha: 0.302, -0.017453292519943295 rad on alpha: 0.323, +0.017453292519943295 rad on beta: 0.302, -0.017453292519943295 rad on beta: 0.323; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: 0.323; Distance: 0.867; Predicted Coordinates: (x=1.489, y=1.330)
Current Angles: 0.668, 0.790; Goal: 1.898, 0.566;+0.017453292519943295 rad on alpha: 0.312, -0.017453292519943295 rad on alpha: 0.334, +0.017453292519943295 rad on beta: 0.313, -0.017453292519943295 rad on beta: 0.334; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: 0.334; Distance: 0.850; Predicted Coordinates: (x=1.500, y=1.316)
Current Angles: 0.650, 0.790; Goal: 1.898, 0.566;+0.017453292519943295 rad on alpha: 0.323, -0.017453292519943295 rad on alpha: 0.345, +0.017453292519943295 rad on beta: 0.323, -0.017453292519943295 rad on beta: 0.345; Robot choose: -0.017453292519943295 rad on beta with Utility Value: 0.345; Distance: 0.832; Predicted Coordinates: (x=1.512, y=1.303)
Current Angles: 0.650, 0.773; Goal: 1.898, 0.566;+0.017453292519943295 rad on alpha: 0.334, -0.017453292519943295 rad on alpha: 0.356, +0.017453292519943295 rad on beta: 0.334, -0.017453292519943295 rad on beta: 0.356; Robot choose: -0.017453292519943295 rad on beta with Utility Value: 0.356; Distance: 0.816; Predicted Coordinates: (x=1.524, y=1.291)
Current Angles: 0.650, 0.755; Goal: 1.898, 0.566;+0.017453292519943295 rad on alpha: 0.345, -0.017453292519943295 rad on alpha: 0.367, +0.017453292519943295 rad on beta: 0.345, -0.017453292519943295 rad on beta: 0.367; Robot choose: -0.017453292519943295 rad on beta with Utility Value: 0.367; Distance: 0.799; Predicted Coordinates: (x=1.536, y=1.278)
Current Angles: 0.650, 0.738; Goal: 1.898, 0.566;+0.017453292519943295 rad on alpha: 0.356, -0.017453292519943295 rad on alpha: 0.378, +0.017453292519943295 rad on beta: 0.356, -0.017453292519943295 rad on beta: 0.378; Robot choose: -0.017453292519943295 rad on beta with Utility Value: 0.378; Distance: 0.782; Predicted Coordinates: (x=1.548, y=1.265)
Current Angles: 0.650, 0.720; Goal: 1.898, 0.566;+0.017453292519943295 rad on alpha: 0.367, -0.017453292519943295 rad on alpha: 0.389, +0.017453292519943295 rad on beta: 0.367, -0.017453292519943295 rad on beta: 0.389; Robot choose: -0.017453292519943295 rad on beta with Utility Value: 0.389; Distance: 0.765; Predicted Coordinates: (x=1.559, y=1.252)
Current Angles: 0.650, 0.703; Goal: 1.898, 0.566;+0.017453292519943295 rad on alpha: 0.378, -0.017453292519943295 rad on alpha: 0.400, +0.017453292519943295 rad on beta: 0.378, -0.017453292519943295 rad on beta: 0.400; Robot choose: -0.017453292519943295 rad on beta with Utility Value: 0.400; Distance: 0.748; Predicted Coordinates: (x=1.570, y=1.238)
Current Angles: 0.650, 0.685; Goal: 1.898, 0.566;+0.017453292519943295 rad on alpha: 0.389, -0.017453292519943295 rad on alpha: 0.411, +0.017453292519943295 rad on beta: 0.389, -0.017453292519943295 rad on beta: 0.411; Robot choose: -0.017453292519943295 rad on beta with Utility Value: 0.411; Distance: 0.731; Predicted Coordinates: (x=1.581, y=1.225)
Current Angles: 0.650, 0.668; Goal: 1.898, 0.566;+0.017453292519943295 rad on alpha: 0.400, -0.017453292519943295 rad on alpha: 0.422, +0.017453292519943295 rad on beta: 0.400, -0.017453292519943295 rad on beta: 0.422; Robot choose: -0.017453292519943295 rad on beta with Utility Value: 0.422; Distance: 0.714; Predicted Coordinates: (x=1.592, y=1.211)
Current Angles: 0.650, 0.650; Goal: 1.898, 0.566;+0.017453292519943295 rad on alpha: 0.411, -0.017453292519943295 rad on alpha: 0.433, +0.017453292519943295 rad on beta: 0.411, -0.017453292519943295 rad on beta: 0.433; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: 0.433; Distance: 0.697; Predicted Coordinates: (x=1.602, y=1.197)
Current Angles: 0.633, 0.650; Goal: 1.898, 0.566;+0.017453292519943295 rad on alpha: 0.422, -0.017453292519943295 rad on alpha: 0.444, +0.017453292519943295 rad on beta: 0.422, -0.017453292519943295 rad on beta: 0.444; Robot choose: -0.017453292519943295 rad on beta with Utility Value: 0.444; Distance: 0.680; Predicted Coordinates: (x=1.613, y=1.183)
Current Angles: 0.633, 0.633; Goal: 1.898, 0.566;+0.017453292519943295 rad on alpha: 0.433, -0.017453292519943295 rad on alpha: 0.455, +0.017453292519943295 rad on beta: 0.433, -0.017453292519943295 rad on beta: 0.455; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: 0.455; Distance: 0.663; Predicted Coordinates: (x=1.623, y=1.169)
Current Angles: 0.615, 0.633; Goal: 1.898, 0.566;+0.017453292519943295 rad on alpha: 0.444, -0.017453292519943295 rad on alpha: 0.466, +0.017453292519943295 rad on beta: 0.444, -0.017453292519943295 rad on beta: 0.466; Robot choose: -0.017453292519943295 rad on beta with Utility Value: 0.466; Distance: 0.646; Predicted Coordinates: (x=1.633, y=1.155)
Current Angles: 0.615, 0.615; Goal: 1.898, 0.566;+0.017453292519943295 rad on alpha: 0.455, -0.017453292519943295 rad on alpha: 0.477, +0.017453292519943295 rad on beta: 0.455, -0.017453292519943295 rad on beta: 0.477; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: 0.477; Distance: 0.628; Predicted Coordinates: (x=1.643, y=1.140)
Current Angles: 0.598, 0.615; Goal: 1.898, 0.566;+0.017453292519943295 rad on alpha: 0.466, -0.017453292519943295 rad on alpha: 0.488, +0.017453292519943295 rad on beta: 0.466, -0.017453292519943295 rad on beta: 0.488; Robot choose: -0.017453292519943295 rad on beta with Utility Value: 0.488; Distance: 0.611; Predicted Coordinates: (x=1.653, y=1.126)
Current Angles: 0.598, 0.598; Goal: 1.898, 0.566;+0.017453292519943295 rad on alpha: 0.477, -0.017453292519943295 rad on alpha: 0.499, +0.017453292519943295 rad on beta: 0.477, -0.017453292519943295 rad on beta: 0.499; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: 0.499; Distance: 0.594; Predicted Coordinates: (x=1.663, y=1.111)
Current Angles: 0.581, 0.598; Goal: 1.898, 0.566;+0.017453292519943295 rad on alpha: 0.488, -0.017453292519943295 rad on alpha: 0.510, +0.017453292519943295 rad on beta: 0.488, -0.017453292519943295 rad on beta: 0.510; Robot choose: -0.017453292519943295 rad on beta with Utility Value: 0.510; Distance: 0.577; Predicted Coordinates: (x=1.672, y=1.097)
Current Angles: 0.581, 0.581; Goal: 1.898, 0.566;+0.017453292519943295 rad on alpha: 0.499, -0.017453292519943295 rad on alpha: 0.521, +0.017453292519943295 rad on beta: 0.499, -0.017453292519943295 rad on beta: 0.521; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: 0.521; Distance: 0.560; Predicted Coordinates: (x=1.682, y=1.082)
Current Angles: 0.563, 0.581; Goal: 1.898, 0.566;+0.017453292519943295 rad on alpha: 0.510, -0.017453292519943295 rad on alpha: 0.532, +0.017453292519943295 rad on beta: 0.510, -0.017453292519943295 rad on beta: 0.532; Robot choose: -0.017453292519943295 rad on beta with Utility Value: 0.532; Distance: 0.543; Predicted Coordinates: (x=1.691, y=1.068)
Current Angles: 0.563, 0.563; Goal: 1.898, 0.566;+0.017453292519943295 rad on alpha: 0.521, -0.017453292519943295 rad on alpha: 0.543, +0.017453292519943295 rad on beta: 0.521, -0.017453292519943295 rad on beta: 0.543; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: 0.543; Distance: 0.525; Predicted Coordinates: (x=1.700, y=1.053)
Current Angles: 0.546, 0.563; Goal: 1.898, 0.566;+0.017453292519943295 rad on alpha: 0.532, -0.017453292519943295 rad on alpha: 0.554, +0.017453292519943295 rad on beta: 0.532, -0.017453292519943295 rad on beta: 0.554; Robot choose: -0.017453292519943295 rad on beta with Utility Value: 0.554; Distance: 0.508; Predicted Coordinates: (x=1.710, y=1.038)
Current Angles: 0.546, 0.546; Goal: 1.898, 0.566;+0.017453292519943295 rad on alpha: 0.543, -0.017453292519943295 rad on alpha: 0.565, +0.017453292519943295 rad on beta: 0.543, -0.017453292519943295 rad on beta: 0.565; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: 0.565; Distance: 0.491; Predicted Coordinates: (x=1.719, y=1.023)
Current Angles: 0.528, 0.546; Goal: 1.898, 0.566;+0.017453292519943295 rad on alpha: 0.554, -0.017453292519943295 rad on alpha: 0.576, +0.017453292519943295 rad on beta: 0.554, -0.017453292519943295 rad on beta: 0.576; Robot choose: -0.017453292519943295 rad on beta with Utility Value: 0.576; Distance: 0.474; Predicted Coordinates: (x=1.727, y=1.008)
Current Angles: 0.528, 0.528; Goal: 1.898, 0.566;+0.017453292519943295 rad on alpha: 0.565, -0.017453292519943295 rad on alpha: 0.587, +0.017453292519943295 rad on beta: 0.565, -0.017453292519943295 rad on beta: 0.587; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: 0.587; Distance: 0.456; Predicted Coordinates: (x=1.736, y=0.993)
Current Angles: 0.511, 0.528; Goal: 1.898, 0.566;+0.017453292519943295 rad on alpha: 0.576, -0.017453292519943295 rad on alpha: 0.598, +0.017453292519943295 rad on beta: 0.576, -0.017453292519943295 rad on beta: 0.598; Robot choose: -0.017453292519943295 rad on beta with Utility Value: 0.598; Distance: 0.439; Predicted Coordinates: (x=1.745, y=0.978)
Current Angles: 0.511, 0.511; Goal: 1.898, 0.566;+0.017453292519943295 rad on alpha: 0.587, -0.017453292519943295 rad on alpha: 0.609, +0.017453292519943295 rad on beta: 0.587, -0.017453292519943295 rad on beta: 0.609; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: 0.609; Distance: 0.422; Predicted Coordinates: (x=1.753, y=0.962)
Current Angles: 0.493, 0.511; Goal: 1.898, 0.566;+0.017453292519943295 rad on alpha: 0.598, -0.017453292519943295 rad on alpha: 0.622, +0.017453292519943295 rad on beta: 0.598, -0.017453292519943295 rad on beta: 0.622; Robot choose: -0.017453292519943295 rad on beta with Utility Value: 0.622; Distance: 0.405; Predicted Coordinates: (x=1.762, y=0.947)
Current Angles: 0.493, 0.493; Goal: 1.898, 0.566;+0.017453292519943295 rad on alpha: 0.609, -0.017453292519943295 rad on alpha: 0.638, +0.017453292519943295 rad on beta: 0.609, -0.017453292519943295 rad on beta: 0.638; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: 0.638; Distance: 0.387; Predicted Coordinates: (x=1.770, y=0.932)
Current Angles: 0.476, 0.493; Goal: 1.898, 0.566;+0.017453292519943295 rad on alpha: 0.622, -0.017453292519943295 rad on alpha: 0.654, +0.017453292519943295 rad on beta: 0.622, -0.017453292519943295 rad on beta: 0.654; Robot choose: -0.017453292519943295 rad on beta with Utility Value: 0.654; Distance: 0.370; Predicted Coordinates: (x=1.778, y=0.916)
Current Angles: 0.476, 0.476; Goal: 1.898, 0.566;+0.017453292519943295 rad on alpha: 0.638, -0.017453292519943295 rad on alpha: 0.669, +0.017453292519943295 rad on beta: 0.638, -0.017453292519943295 rad on beta: 0.669; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: 0.669; Distance: 0.353; Predicted Coordinates: (x=1.786, y=0.901)
Current Angles: 0.458, 0.476; Goal: 1.898, 0.566;+0.017453292519943295 rad on alpha: 0.654, -0.017453292519943295 rad on alpha: 0.685, +0.017453292519943295 rad on beta: 0.654, -0.017453292519943295 rad on beta: 0.685; Robot choose: -0.017453292519943295 rad on beta with Utility Value: 0.685; Distance: 0.336; Predicted Coordinates: (x=1.794, y=0.885)
Current Angles: 0.458, 0.458; Goal: 1.898, 0.566;+0.017453292519943295 rad on alpha: 0.669, -0.017453292519943295 rad on alpha: 0.701, +0.017453292519943295 rad on beta: 0.669, -0.017453292519943295 rad on beta: 0.701; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: 0.701; Distance: 0.318; Predicted Coordinates: (x=1.801, y=0.869)
Current Angles: 0.441, 0.458; Goal: 1.898, 0.566;+0.017453292519943295 rad on alpha: 0.685, -0.017453292519943295 rad on alpha: 0.717, +0.017453292519943295 rad on beta: 0.685, -0.017453292519943295 rad on beta: 0.717; Robot choose: -0.017453292519943295 rad on beta with Utility Value: 0.717; Distance: 0.301; Predicted Coordinates: (x=1.809, y=0.854)
Current Angles: 0.441, 0.441; Goal: 1.898, 0.566;+0.017453292519943295 rad on alpha: 0.701, -0.017453292519943295 rad on alpha: 0.732, +0.017453292519943295 rad on beta: 0.701, -0.017453292519943295 rad on beta: 0.732; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: 0.732; Distance: 0.284; Predicted Coordinates: (x=1.816, y=0.838)
Current Angles: 0.423, 0.441; Goal: 1.898, 0.566;+0.017453292519943295 rad on alpha: 0.717, -0.017453292519943295 rad on alpha: 0.748, +0.017453292519943295 rad on beta: 0.717, -0.017453292519943295 rad on beta: 0.748; Robot choose: -0.017453292519943295 rad on beta with Utility Value: 0.748; Distance: 0.267; Predicted Coordinates: (x=1.823, y=0.822)
Current Angles: 0.423, 0.423; Goal: 1.898, 0.566;+0.017453292519943295 rad on alpha: 0.732, -0.017453292519943295 rad on alpha: 0.764, +0.017453292519943295 rad on beta: 0.732, -0.017453292519943295 rad on beta: 0.764; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: 0.764; Distance: 0.249; Predicted Coordinates: (x=1.830, y=0.806)
Current Angles: 0.406, 0.423; Goal: 1.898, 0.566;+0.017453292519943295 rad on alpha: 0.748, -0.017453292519943295 rad on alpha: 0.780, +0.017453292519943295 rad on beta: 0.748, -0.017453292519943295 rad on beta: 0.780; Robot choose: -0.017453292519943295 rad on beta with Utility Value: 0.780; Distance: 0.232; Predicted Coordinates: (x=1.837, y=0.790)
Current Angles: 0.406, 0.406; Goal: 1.898, 0.566;+0.017453292519943295 rad on alpha: 0.764, -0.017453292519943295 rad on alpha: 0.796, +0.017453292519943295 rad on beta: 0.764, -0.017453292519943295 rad on beta: 0.796; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: 0.796; Distance: 0.215; Predicted Coordinates: (x=1.844, y=0.774)
Current Angles: 0.389, 0.406; Goal: 1.898, 0.566;+0.017453292519943295 rad on alpha: 0.780, -0.017453292519943295 rad on alpha: 0.812, +0.017453292519943295 rad on beta: 0.780, -0.017453292519943295 rad on beta: 0.812; Robot choose: -0.017453292519943295 rad on beta with Utility Value: 0.812; Distance: 0.197; Predicted Coordinates: (x=1.851, y=0.758)
Current Angles: 0.389, 0.389; Goal: 1.898, 0.566;+0.017453292519943295 rad on alpha: 0.796, -0.017453292519943295 rad on alpha: 0.828, +0.017453292519943295 rad on beta: 0.796, -0.017453292519943295 rad on beta: 0.828; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: 0.828; Distance: 0.180; Predicted Coordinates: (x=1.857, y=0.742)
Current Angles: 0.371, 0.389; Goal: 1.898, 0.566;+0.017453292519943295 rad on alpha: 0.812, -0.017453292519943295 rad on alpha: 0.844, +0.017453292519943295 rad on beta: 0.812, -0.017453292519943295 rad on beta: 0.844; Robot choose: -0.017453292519943295 rad on beta with Utility Value: 0.844; Distance: 0.163; Predicted Coordinates: (x=1.864, y=0.725)
Current Angles: 0.371, 0.371; Goal: 1.898, 0.566;+0.017453292519943295 rad on alpha: 0.828, -0.017453292519943295 rad on alpha: 0.859, +0.017453292519943295 rad on beta: 0.828, -0.017453292519943295 rad on beta: 0.859; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: 0.859; Distance: 0.146; Predicted Coordinates: (x=1.870, y=0.709)
Current Angles: 0.354, 0.371; Goal: 1.898, 0.566;+0.017453292519943295 rad on alpha: 0.844, -0.017453292519943295 rad on alpha: 0.874, +0.017453292519943295 rad on beta: 0.844, -0.017453292519943295 rad on beta: 0.874; Robot choose: -0.017453292519943295 rad on beta with Utility Value: 0.874; Distance: 0.129; Predicted Coordinates: (x=1.876, y=0.693)
Current Angles: 0.354, 0.354; Goal: 1.898, 0.566;+0.017453292519943295 rad on alpha: 0.859, -0.017453292519943295 rad on alpha: 0.889, +0.017453292519943295 rad on beta: 0.859, -0.017453292519943295 rad on beta: 0.889; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: 0.889; Distance: 0.111; Predicted Coordinates: (x=1.882, y=0.676)
Current Angles: 0.336, 0.354; Goal: 1.898, 0.566;+0.017453292519943295 rad on alpha: 0.874, -0.017453292519943295 rad on alpha: 0.907, +0.017453292519943295 rad on beta: 0.874, -0.017453292519943295 rad on beta: 0.908; Robot choose: -0.017453292519943295 rad on beta with Utility Value: 0.908; Distance: 0.094; Predicted Coordinates: (x=1.888, y=0.660)
Robot reached the goal in 51 steps!
